"nom","pk_evenement","nom_evenement","date","nom_lieu","ville","pays"
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
FOBB section Jura,16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
FOBB section Jura,17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
Groupe de typographe zürichois,16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Groupe de typographe zürichois,17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
Ligue communiste française,16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Ligue communiste française,17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
Ligue marxiste révolutionnaire (LMR),16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Ligue marxiste révolutionnaire (LMR),17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
POP section Bienne,16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
POP section Bienne,17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
Parti socialiste unifié français (PSU),16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Parti socialiste unifié français (PSU),17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
Personnel Lip,16,manifestation internationale,"1973-06-23",Place de la Gare,La Chaux-de-Fonds,Suisse
Personnel Lip,17,meeting en solidarité aux travailleurs de Lip,"1973-06-23",Maison du Peuple,La Chaux-de-Fonds,Suisse
CGT,18,assemblée d’information à l'intention des travailleurs chaux-de-fonniers,"1973-06-27",Maison du Peuple,La Chaux-de-Fonds,Suisse
POP section La Chaux-de-Fonds,18,assemblée d’information à l'intention des travailleurs chaux-de-fonniers,"1973-06-27",Maison du Peuple,La Chaux-de-Fonds,Suisse
Parti communiste français (PCF),18,assemblée d’information à l'intention des travailleurs chaux-de-fonniers,"1973-06-27",Maison du Peuple,La Chaux-de-Fonds,Suisse
CFDT-Lip,20,manifestation en solidarité aux travailleurs de Lip,"1973-08-14",Usine Lip,Besançon,France
CGT-Lip,20,manifestation en solidarité aux travailleurs de Lip,"1973-08-14",Usine Lip,Besançon,France
Personnel Lip,20,manifestation en solidarité aux travailleurs de Lip,"1973-08-14",Usine Lip,Besançon,France
Action socialiste,21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Colonies libres italiennes,21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Jeunesse chrétienne rurale,21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Ligue marxiste révolutionnaire (LMR),21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
POP,21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Parti communiste italien,21,meeting en solidarité aux travailleurs de Lip,"1973-08-16",Canton du Jura,,Suisse
Cartel syndical neuchâtelois,22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse
Cartel syndical neuchâtelois,23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse
"Fédération neuchâteloise des travailleurs du commerce,  des transports et de l'alimentation (FCTA)",22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse
"Fédération neuchâteloise des travailleurs du commerce,  des transports et de l'alimentation (FCTA)",23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse
Ligue marxiste révolutionnaire (LMR),22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse
Ligue marxiste révolutionnaire (LMR),23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse
POP neuchâtelois,22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse
POP neuchâtelois,23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse
Parti socialiste neuchâtelois,22,manifestation en solidarité aux travailleurs de Lip,"1973-08-17",Place de la Gare,La Chaux-de-Fonds,Suisse
Parti socialiste neuchâtelois,23,meeting en solidarité aux travailleurs de Lip,"1973-08-17",Maison du Peuple,La Chaux-de-Fonds,Suisse
Colonies libres italiennes section Bienne,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Colonies libres italiennes section Delémont,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Comité de lutte ouvrière,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Comité du Parti socialiste romand,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Comité du Parti socialiste section Bienne,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Groupe de travailleurs FOBB,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Groupe de travailleurs FTMH,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Groupe de travailleurs VPOD,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Ligue marxiste révolutionnaire section Bienne,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Ligue marxiste révolutionnaire section Delémont,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Ligue marxiste révolutionnaire section Neuchâtel,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Lutte prolétaire Bienne,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
POP section Bienne,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
Parti communiste italien section Delémont,24,manifestation en solidarité aux travailleurs de Lip,"1973-08-18",Place de la Gare,Bienne/Biel,Suisse
CFDT-Lip,25,meeting en solidarité aux travailleurs de Lip,"1973-08-22",Salle communale de Plainpalais,Genève,Suisse
FTMH section Genève,25,meeting en solidarité aux travailleurs de Lip,"1973-08-22",Salle communale de Plainpalais,Genève,Suisse
Fédération internaionale des organisations des travailleurs de la metallurgie (FIOM),25,meeting en solidarité aux travailleurs de Lip,"1973-08-22",Salle communale de Plainpalais,Genève,Suisse
Groupe de travailleurs FTMH,25,meeting en solidarité aux travailleurs de Lip,"1973-08-22",Salle communale de Plainpalais,Genève,Suisse
Comité de soutien aux travailleurs de Lip en lutte,26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
Ligue marxiste révolutionnaire (LMR),26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
POP,26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
Parti socialiste section Lausanne,26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
Parti socialiste vaudois,26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
Rupture pour le communisme,26,meeting en solidarité aux travailleurs de Lip,"1973-08-23",Salle des 22-Cantons,Lausanne,Suisse
Fédération chrétienne des ouvriers sur métaux (FCOM),27,meeting en solidarité aux travailleurs de Lip,"1973-08-24",Delémont,Delémont,Suisse
Fédération jurassienne des syndicats chrétiens (FJSC),27,meeting en solidarité aux travailleurs de Lip,"1973-08-24",Delémont,Delémont,Suisse
Groupe de travailleurs Lip,28,meeting en solidarité aux travailleurs de Lip,"1973-08-31",Volkshaus,Zürich,Suisse
Ligue marxiste révolutionnaire (LMR),28,meeting en solidarité aux travailleurs de Lip,"1973-08-31",Volkshaus,Zürich,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),29,meeting en solidarité aux travailleurs de Lip,"1973-09-05",Hôtel du Soleil,Delémont,Suisse
Jeunesse Ouvrière Chrétienne,29,meeting en solidarité aux travailleurs de Lip,"1973-09-05",Hôtel du Soleil,Delémont,Suisse
Ligue marxiste révolutionnaire (LMR),29,meeting en solidarité aux travailleurs de Lip,"1973-09-05",Hôtel du Soleil,Delémont,Suisse
POP,29,meeting en solidarité aux travailleurs de Lip,"1973-09-05",Hôtel du Soleil,Delémont,Suisse
CFDT,30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
CFDT-Lip,30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
CGT,30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
CGT-Lip,30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Comité d'action (CA),30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Comité d’action syndicale Lausanne (C.A.S),30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Ligue marxiste révolutionnaire (LMR),30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Parti communiste français (PCF),30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Parti socialiste unifié français (PSU),30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Personnel Lip,30,marche sur Besançon,"1973-09-29",Châteaufarine,Besançon,France
Ligue marxiste révolutionnaire (LMR),32,film-meeting en solidarité aux travailleurs de Lip,"1973-10-19",Maison du Peuple,La Chaux-de-Fonds,Suisse
Ligue marxiste révolutionnaire (LMR),33,film-meeting en solidarité aux travailleurs de Lip,"1973-10-25",Buffet de la gare,Neuchâtel,Suisse
